unixtime,lat,lon,OCES,OCEP,OGS,ISS,ICES,ICEP,SICS
1664877752.28775,48.730804,9.332769,276.712100000004,NaN,276.767699999968,NaN,NaN,290.396599999978,NaN
1664877752.33709,48.727946,9.331557,284.802099999972,NaN,284.645399999921,NaN,NaN,298.708799999906,297.943399999873
1664877752.38647,48.725086,9.330344,284.830799999996,NaN,290.722599999979,NaN,NaN,NaN,290.825499999919
1664877752.43583,48.722227,9.329132,290.773199999821,NaN,290.695399999851,NaN,NaN,NaN,290.959299999871
1664877752.48518,48.719369,9.32792,291.086499999859,NaN,291.052599999937,NaN,NaN,290.894399999874,NaN
