unixtime,lat,lon,OCES,OCEP,OGS,ISS,ICES,ICEP,SICS
1669543348.89639,48.733295,9.319546,284.878199999919,NaN,284.735199999996,NaN,NaN,285.114699999918,285.059899999993
1669543348.94576,48.730435,9.318334,284.718800000031,NaN,284.562099999981,NaN,NaN,NaN,284.91379999998
1669543348.99513,48.727576,9.317123,284.952300000004,296.360900000087,284.946200000006,284.9179,NaN,NaN,290.234100000001
1669543349.04449,48.724716,9.315911,285.209799999953,NaN,284.766199999955,284.965699999942,NaN,284.190500000026,285.142999999924
