unixtime,lat,lon,OCES,OCEP,OGS,ISS,ICES,ICEP,SICS
1662544952.62843,48.73174,9.327634,312.432499999879,NaN,311.450899999938,NaN,NaN,NaN,NaN
1662544952.67778,48.728881,9.326421,313.076599999913,NaN,312.702099999995,NaN,NaN,NaN,NaN
1662544952.72713,48.726024,9.325209,326.147099999944,NaN,325.94849999994,NaN,NaN,NaN,NaN
1662544952.77649,48.723165,9.323996,353.235199999879,NaN,353.060399999958,NaN,NaN,NaN,368.272299999953
1662544952.82584,48.720306,9.322783,353.367399999988,NaN,353.317500000005,NaN,NaN,353.260800000047,353.488299999968
