unixtime,lat,lon,OCES,OCEP,OGS,ISS,ICES,ICEP,SICS
1660212152.39019,48.735,9.318679,284.515200000023,NaN,284.405200000037,NaN,NaN,NaN,NaN
1660212152.43954,48.732141,9.317467,284.737199999974,NaN,284.599500000011,NaN,NaN,284.542699999991,284.914600000018
1660212152.4889,48.729282,9.316255,284.873599999934,NaN,284.596999999951,NaN,NaN,284.936599999899,284.839099999866
1660212152.53827,48.726422,9.315044,287.627000000095,NaN,289.489600000088,NaN,NaN,284.626500000129,NaN
1660212152.58761,48.723564,9.313833,288.620099999942,NaN,289.005999999936,288.304200000013,NaN,282.865899999975,NaN
