unixtime,lat,lon,OCES,OCEP,OGS,ISS,ICES,ICEP,SICS
1667210551.45335,48.731621,9.327457,284.917199999909,NaN,284.778699999908,NaN,NaN,285.171299999929,285.11249999993
1667210551.50271,48.728762,9.326246,284.750100000063,NaN,284.594000000041,NaN,NaN,NaN,284.941300000064
1667210551.55208,48.725902,9.325034,290.67220000003,NaN,290.527200000011,NaN,NaN,291.300400000066,290.873700000113
1667210551.60145,48.723043,9.323822,285.067800000077,NaN,284.768500000122,285.185300000128,NaN,290.898400000064,290.904400000116
1667210551.6508,48.720184,9.32261,285.403200000059,NaN,285.082800000091,NaN,NaN,290.831900000107,291.078300000052
