,satellite,north,east,height,lat_center,lon_center,height_center
0,R14,9.313531629876168,9.313531629876168,4.833999999999688,48.7286,9.31907,285.48789
1,R14,4.596264364277514,4.596264364277514,4.985999999999671,48.7286,9.31907,285.48789
2,R14,1.7500072867222858,1.7500072867222858,3.027999999999887,48.7286,9.31907,285.48789
3,R24,3.543269855160641,3.543269855160641,2.533999999999941,48.7286,9.31907,285.48789
4,R24,6.599256182561539,6.599256182561539,3.060999999999883,48.7286,9.31907,285.48789
5,G14,14.170856800180822,14.170856800180822,3.0139999999998883,48.7286,9.31907,285.48789
6,G14,10.017502079359195,10.017502079359195,2.3479999999999617,48.7286,9.31907,285.48789
7,G14,16.464763473252624,16.464763473252624,4.563999999999718,48.7286,9.31907,285.48789
8,R15,8.876566398346101,8.876566398346101,3.379999999999848,48.7286,9.31907,285.48789
9,E25,12.773769517595492,12.773769517595492,3.596999999999824,48.7286,9.31907,285.48789
10,E11,6.971508171427398,6.971508171427398,3.552999999999829,48.7286,9.31907,285.48789
11,R17,9.662723964948645,9.662723964948645,3.0399999999998855,48.7286,9.31907,285.48789
